,precision,recall,f1-score,support,model
0,0.9536266349583828,0.33154195948739146,0.4920245398773006,2419.0,RF
1,0.12167300380228137,0.8517110266159695,0.21292775665399238,263.0,RF
accuracy,0.3825503355704698,0.3825503355704698,0.3825503355704698,0.3825503355704698,RF
macro avg,0.5376498193803321,0.5916264930516805,0.3524761482656465,2682.0,RF
weighted avg,0.8720443064743953,0.3825503355704698,0.4646559888005929,2682.0,RF
0,0.9424703891708968,0.2302604381976023,0.37009966777408637,2419.0,XGB
1,0.1095169775227164,0.870722433460076,0.19456244689889549,263.0,XGB
accuracy,0.2930648769574944,0.2930648769574944,0.2930648769574944,0.2930648769574944,XGB
macro avg,0.5259936833468066,0.5504914358288392,0.28233105733649094,2682.0,XGB
weighted avg,0.8607900210637114,0.2930648769574944,0.3528862863086966,2682.0,XGB
